Name,LOCC,NOM,NOA,AMW,FANOUT,ATFD,FDP,CBO,CC,CM,NOAM,NOPA,DIT,God Class
RubyYaccLexer,1744,32,24,12.34,124,8,4,22,3,8,10,1,0,true
Java,736,29,2,5.59,111,20,12,33,0,0,0,0,0,true
JavaClass,1399,63,14,3.19,71,9,5,24,3,11,2,0,2,true
JavaUtil,241,7,0,11.43,29,6,5,10,0,0,0,0,0,true
JavaProxyClass,628,24,6,2.83,31,5,4,11,4,4,2,1,2,true
Dir,536,15,15,14.20,11,4,2,3,0,0,0,0,0,true
Sprintf,1386,20,26,14.90,54,6,5,15,0,0,0,0,0,true
Ruby,1632,177,58,1.72,243,26,12,97,222,1739,54,2,0,true
RubyFile,837,41,11,3.15,89,11,6,27,0,0,0,0,2,true
RubyModule,1812,134,10,2.52,109,30,11,35,112,266,8,4,1,true
RubyHash,1622,101,35,3.18,74,17,6,24,16,25,3,1,1,true
RubyClass,363,36,5,1.58,27,7,4,11,34,59,6,0,2,true
RubyString,3010,160,29,3.52,145,21,10,29,51,142,3,0,1,true
RubyIO,1414,70,10,2.73,130,120,25,26,6,19,0,0,1,true
RubyThread,615,50,15,2.16,77,12,5,25,5,6,1,3,1,true
RubyObject,1408,131,9,1.89,125,31,8,30,53,128,6,1,0,true
RubyNumeric,710,51,2,2.37,57,8,5,13,13,28,2,1,1,true
RubySymbol,334,26,8,4.15,34,9,5,12,3,5,1,0,1,true
RubyTime,648,59,8,2.02,50,6,3,16,2,3,2,0,1,true
RubyBigDecimal,621,61,2,2.11,36,3,1,11,0,0,0,0,2,true
RubyBignum,610,43,14,3.09,42,11,7,16,6,16,2,0,3,true
RubyDir,429,26,6,2.19,58,7,3,16,0,0,0,0,1,true
RubyEnumerable,569,21,0,2.81,36,5,2,13,0,0,0,0,0,true
RubyKernel,994,61,1,2.59,184,36,10,42,0,0,0,0,0,true
RubyRegexp,761,48,15,3.27,87,13,7,24,3,24,3,0,1,true
RubyStringIO,447,54,8,1.70,55,8,4,15,1,1,1,0,1,true
ThreadContext,798,106,18,1.43,62,28,5,15,57,211,13,2,0,true
LoadService,453,20,14,4.30,44,10,3,19,19,32,2,0,0,true
MarshalStream,338,21,8,3.76,71,10,7,20,10,13,0,0,2,true
UnmarshalStream,261,14,3,4,41,4,2,18,12,15,1,0,3,true
DefaultRubyParser,3201,13,136,36.08,188,29,12,89,4,4,0,0,0,true
ParserSupport,811,63,6,3.65,149,32,21,66,3,6,8,0,0,true
RubyStruct,485,32,2,2.91,72,13,5,17,0,0,1,0,1,false
IOHandlerSocket,27,2,0,3,4,0,0,1,0,0,0,0,3,false
PathElementMask,30,7,2,0.86,5,0,0,5,2,3,0,0,0,false
RaiseException,122,12,2,1.83,36,9,5,12,11,18,1,0,4,false
BignumNode,31,5,2,1,2,0,0,2,5,5,2,0,1,false
OpElementAsgnNode,69,8,6,1,3,0,0,3,3,3,4,1,1,false
2,13,2,0,1,1,0,0,1,0,0,0,0,1,false
Node,44,7,3,2,0,0,0,0,6,17,3,0,0,false
Representer,6,4,0,0,0,0,0,0,12,12,0,0,0,false
ListEnumerator,44,3,5,2.33,1,0,0,1,0,0,0,0,1,false
JavaAccessibleObject,41,8,0,1.38,8,2,1,4,0,0,0,0,1,false
AssignableNode,32,4,2,1,1,0,0,1,13,28,2,0,1,false
Keyword,136,4,10,2.75,1,0,0,1,0,0,0,4,0,false
RegularMask,47,4,1,1.75,3,0,0,3,1,1,0,1,1,false
RaiseException,122,12,2,1.83,36,9,5,12,11,18,1,0,4,false
Instruction,3,1,0,0,0,0,0,0,0,0,0,0,0,false
NodeCompilerFactory,213,4,2,16,116,1,1,61,0,0,0,0,0,false
UnmarshalCache,47,7,3,1.43,3,3,2,2,1,2,0,0,0,false
EachWithIndex,18,2,3,1.50,6,2,2,3,0,0,0,0,0,false
BackReference,6,1,0,2,0,0,0,0,0,0,0,0,1,false
WrapperMethod,34,6,1,1,0,0,0,0,0,0,0,0,1,false
DVarNode,72,8,3,1,2,0,0,2,4,4,4,0,1,false
EntrySet,23,6,0,1.50,9,3,3,5,0,0,0,0,1,false
Deflate,109,16,2,1.50,15,3,3,5,0,0,0,0,2,false
1,5,0,0,0,0,0,0,0,0,0,0,0,1,false
RubyRunnable,45,3,5,1,15,3,3,7,0,0,1,0,0,false
NullWarnings,13,8,0,0.88,0,0,0,0,0,0,0,0,0,false
LocalVarNodeCompiler,15,2,0,1,5,3,2,3,0,0,0,0,0,false
JarredScript,45,3,1,2.67,11,4,2,4,1,1,1,0,0,false
FormatHelper,36,17,0,0,0,0,0,0,3,18,0,0,0,false
GlobPattern,58,4,5,3,5,0,0,2,1,2,2,0,0,false
PatternSyntaxException,5,1,0,1,0,0,0,0,0,0,0,0,4,false
